impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-106401,A551273,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Midnight,Cat,12 YEARS 11 MONTHS,Spayed Female,Domestic Shorthair,Black,02/03/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551273,Image Copyright HLP Inc. 2019,"Received on: 2018-02-03<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 12 YEARS 11 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Midnight and I am available for adoption.<p/><p/>I was brought in by my previous owner on  2/3/18.<p/><p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/><p/><p/><p/>Adoption Fee: $30.00<p/>",GREEN
K19-114654,A577764,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947892,LOST,Paul,Cat,,Male,Domestic Shorthair,Unknown,12/29/2018 12:00:00 AM,Date Lost,21900 88TH PL W,EDMONDS,WA,98026,SNOHOMISH COUNT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947892,Image Copyright HLP Inc. 2019,,
K19-114658,A577770,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Nova,Dead Cat,NO AGE,Female,Domestic Shorthair,Org Tabby,01/02/2019 12:00:00 AM,Received on,17100 HILLSIDE DR NE,LAKE FOREST PARK,WA,98155,LAKE FOREST PAR,47.753954,-122.294407,,Image Copyright HLP Inc. 2019,"Received on: 2019-01-02<p/> Found Near: 17100 HILLSIDE DR NE, LAKE FOREST PARK WA 98155<p/> Description: Org Tabby Female Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K19-114676,A577828,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Black,01/03/2019 12:00:00 AM,Received on,18100 68TH AVE NE,KENMORE,WA,98028,KENMORE,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-01-03<p/> Found Near: 18100 68TH AVE NE, KENMORE WA 98028<p/> Description: Black Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K17-105331,A547918,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Babette,Cat,18 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Brn Tabby,12/04/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A547918,Image Copyright HLP Inc. 2019,"Received on: 2017-12-04<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 18 YEARS 1 MONTH<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Babette and I am available for adoption.<p/><p/>I was brought in by my previous owner on 12/5/17 because the landlord didn't allow cats. I lived in a home with dogs but the were not my favorite. I also lived with other cats and children. My previous owner described me as calm and vocal.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     This animal has been diagnosed as hyperthyroid.  This means that thyroid gland is producing an excess of hormones.  This disease can be easily managed with daily medication, radioactive iodine treatment or prescription diet.  Please follow up with you regular veterinarian to create a treatment plan.  We have also included a handout with more information about this disease.<p/><p/>2)  This animal has been diagnosed with early kidney disease.  This condition can be managed with special diets and medications.  Treatment will be lifelong.  Please follow up with your regular veterinarian for the best treatment plan.  <p/><p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/><p/>Adoption Fee: $30.00<p/>",BLUE
K18-113007,A564603,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A564603,Cat & Kaboodle,Persephone,Cat,3 YEARS 5 MONTHS,Spayed Female,Domestic Shorthair,Gray,10/16/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A564603,Image Copyright HLP Inc. 2019,"Received on: 2018-10-16<p/> Description: Gray<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS 5 MONTHS<p/> Current Location: Cat & Kaboodle<p/>Hi! My name is Persephone and I am looking for the perfect home!<p/><p/>I was brought in by a good samaritan on August 1st, 2018.<p/><p/>I am a very social kitty and don't understand when people aren't showering me with attention. I'm not the biggest fan of rough petting but soft gentle pets are definitely okay. I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I seem to do better in a home that has children that are cat savvy or children that are teenagers. <p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>In my last home, I wasn't too crazy about living with dogs. I may do best in a home with no other animals.<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Allergic dermatitis, Flea allergy suspected.- This animal's skin condition is suspected to be caused by allergies.  An allergy is an over-reaction of the immune system to an allergen.  Allergies may affect the skin, respiratory or gastrointestinal system.  Symptoms may include itching, inflammation and hair loss, coughing, sneezing or digestive disorders.  Allergies can be caused by environmental factors, fleas or foods.  Allergies can lead to secondary problems such as skin and ear infection, or asthma.  Controlling the allergen is the best treatment.  Antihistamines, medicated shampoos, hypoallergenic diets and routine flea control are some treatment options.  We recommend that you consult with your regular veterinarian about this condition.  Continued veterinary care and additional treatment will be needed.<p/><p/>2)  Cystitis and history of crystalluria.  This cat is on a prescription diet to control her crystalluria. Continue to feed Science Diet c/d or other diet as prescribed by your veterinarian.  She will likely need a prescription diet for life.<p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/> Adoption Fee: $30.00<p/>",GREEN
K19-114702,A577893,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1948831,LOST,Cole,Cat,,Male,Domestic Shorthair,Unknown,01/02/2019 12:00:00 AM,Date Lost,FAIRVIEW AVE N,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1948831,Image Copyright HLP Inc. 2019,,
K19-114704,A577895,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1948917,LOST,Tater Tot,Dog,,Female,Pembroke Welsh Corgi,Unknown,01/04/2019 12:00:00 AM,Date Lost,200 PARK PL N,RENTON,WA,98057,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1948917,Image Copyright HLP Inc. 2019,,
K19-114706,A577897,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1948960,In Public Home,,Dog,,Male,Rottweiler,Black / Brown,01/04/2019 12:00:00 AM,Date Found,S 129TH ST AND 76TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1948960,Image Copyright HLP Inc. 2019,,
K19-114713,A577905,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1949214,LOST,Freya,Dog,,Female,American Pit Bull Terrier,Unknown,01/05/2019 12:00:00 AM,Date Lost,13000 20TH AVE S,SEATAC,WA,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1949214,Image Copyright HLP Inc. 2019,,
K19-114727,A577917,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Stanley,Dead Dog,NO AGE,Neutered Male,Pit Bull / Mix,Brown / White,01/06/2019 12:00:00 AM,Received on,3600 136TH PL SE,BELLEVUE,WA,98006,BELLEVUE,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-01-06<p/> Found Near: 3600 136TH PL SE, BELLEVUE WA 98006<p/> Description: Brown / White Neutered Male Pit Bull / Mix Dog<p/> Age: NO AGE<p/>",
K18-113628,A574398,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Charlie,Cat,18 YEARS 2 MONTHS,Neutered Male,Domestic Longhair,Gray / White,11/08/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574398,Image Copyright HLP Inc. 2019,"Received on: 2018-11-08<p/> Description: Gray / White Neutered Male Domestic Longhair Cat<p/> Age: 18 YEARS 2 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Charlie aka Sir Charlie, and I am available for adoption.<p/><p/>I was brought in by my previous owner on November 8th, 2018, because my owner was moving into a home with residents that were allergic to cats. I lived in a home with a rottweiler. My previous owner described me as shy at first but once I get to know you I can be very lovey and snuggley.<p/><p/>I'm a big time sweetie guy who is looking for my forever home, I previously lived in a home that allowed me indoor/outdoor access to 3 acres of backyard and wooded area. I really love to sleep in my persons bed and snuggle with them at night. Take me home and have a best friend for life! <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>Adoption Fee: $30.00<p/>",BLUE
K19-114722,A577913,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1949384,In Public Home,,Dog,,Female,Labrador Retriever,White,01/06/2019 12:00:00 AM,Date Found,4800 139TH AVE SE,BELLEVUE,WA,98006,BELLEVUE,47.558295,-122.155875,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1949384,Image Copyright HLP Inc. 2019,,
K19-114628,A577667,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A577667,Meowtropolitan,Eugene,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby / White,01/02/2019 12:00:00 AM,Received on,700 GRIFFIN AVE,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577667,Image Copyright HLP Inc. 2019,"Received on: 2019-01-02<p/> Found Near: 700 GRIFFIN AVE, ENUMCLAW WA 98022<p/> Description: Org Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: Meowtropolitan<p/>",BLUE
K18-114609,A577634,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A577634,Meowtropolitan,Aaron,Cat,4 YEARS,Neutered Male,Domestic Shorthair,White / Black,12/31/2018 12:00:00 AM,Received on,40300 302ND AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577634,Image Copyright HLP Inc. 2019,"Received on: 2018-12-31<p/> Found Near: 40300 302ND AVE SE, ENUMCLAW WA 98022<p/> Description: White / Black Neutered Male Domestic Shorthair Cat<p/> Age: 4 YEARS<p/> Current Location: Meowtropolitan<p/>",GREEN
K18-111765,A567180,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A567180,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Diego,Cat,12 YEARS 4 MONTHS,Neutered Male,Domestic Shorthair,Black,08/31/2018 12:00:00 AM,Received on,8300 167TH AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A567180,Image Copyright HLP Inc. 2019,"Received on: 2018-08-31<p/> Found Near: 8300 167TH AVE NE, REDMOND WA 98052<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 12 YEARS 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K18-114213,A419454,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A419454,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Zoe,Cat,5 YEARS 7 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,12/07/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A419454,Image Copyright HLP Inc. 2019,"Received on: 2018-12-07<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 5 YEARS 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Zoe and I am available for adoption.<p/><p/>I was brought in by my previous owner on 12/07/18 because.  My previous owner described me as shy, loving, playful and an alarm clock.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/>Because of my shy nature, I would do best in a calm, quiet adult home.<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Mild weakness and incoordination in the hind end- This cat came in with weakness and inccordination in her hind legs.  She was treated with a week of antiinflammatories and has shown some improvement.  Her signs could be due to intervetebral disc disease (""slipped disc"")  or could be caused by other issues such as a degenerative muscle disease.  She is able to move around normally at this point, but she may be having issues using the litterbox.  Please consult with your regular veterinarian about the best treatment plan for her.<p/><p/>2)  Grade 1/6 heart murmur- A heart murmur was detected on physical examination.  This means there is an abnormal heart sound when we listen to the heart.  In some animals, this can indicate heart disease.  However, other animals can have heart murmurs and never show any symptoms of heart disease.  We recommend that you follow up with your regular veterinarian.<p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/> Adoption Fee: $30.00<p/>",BLUE
K19-114746,A578100,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1950265,LOST,Chi Chi,Dog,,Female,Chihuahua - Long Haired,Unknown,01/08/2019 12:00:00 AM,Date Lost,3000 DIVISION ST,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1950265,Image Copyright HLP Inc. 2019,,
K19-114766,A578150,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1950637,LOST,Beau Jangles,Dog,,Male,Pit Bull,Unknown,01/02/2019 12:00:00 AM,Date Lost,160TH AND WOODLAND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1950637,Image Copyright HLP Inc. 2019,,
K19-114765,A578149,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1950634,LOST,Cooper,Dog,,Male,Pit Bull,Unknown,01/02/2019 12:00:00 AM,Date Lost,6500 163RD STREET CT E,PUYALLUP,WA,98375,PIERCE COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1950634,Image Copyright HLP Inc. 2019,,
K19-114638,A577744,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A577744,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Taiga,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,01/02/2019 12:00:00 AM,Received on,1000 CENTRAL AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577744,Image Copyright HLP Inc. 2019,"Received on: 2019-01-02<p/> Found Near: 1000 CENTRAL AVE N, KENT WA 98032<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p/>",GREEN
K19-114769,A395796,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A395796,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jasmin,Cat,10 YEARS,Spayed Female,Domestic Longhair,Brn Tabby,01/10/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A395796,Image Copyright HLP Inc. 2019,"Received on: 2019-01-10<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 10 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Jasmin and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on 1/10/19<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/> Adoption Fee: $30.00<p/>",RED
K19-114768,A578168,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1950756,LOST,Marie,Cat,,Female,Domestic Shorthair,Unknown,01/09/2019 12:00:00 AM,Date Lost,8600 SE 75TH PL,MERCER ISLAND,WA,98040,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1950756,Image Copyright HLP Inc. 2019,,
K19-114803,A578217,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1951284,LOST,Thai,Dog,,Male,Golden Retriever,Unknown,01/11/2019 12:00:00 AM,Date Lost,CORNER 148 AVE NE & REDMOND WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1951284,Image Copyright HLP Inc. 2019,,
K19-114811,A578220,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1951474,LOST,Duke,Dog,,Male,Australian Cattle Dog,Unknown,01/11/2019 12:00:00 AM,Date Lost,240 NW GILMAN,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1951474,Image Copyright HLP Inc. 2019,,
K19-114813,A578222,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Female,Domestic Shorthair,Tortie,01/12/2019 12:00:00 AM,Received on,10800 SE 231ST ST,KENT,WA,98031,KENT,47.395466,-122.197109,,Image Copyright HLP Inc. 2019,"Received on: 2019-01-12<p/> Found Near: 10800 SE 231ST ST, KENT WA 98031<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K13-066766,A407026,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Kiki,Cat,16 YEARS,Spayed Female,Domestic Shorthair,Black,05/11/2013 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,FEDERAL WAY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A407026,Image Copyright HLP Inc. 2019,"Received on: 2013-05-11<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 16 YEARS<p/> Current Location: In RASKC Foster Home <p/><p/>Hi, my name if Kiki.  I am a 10 year old lady who came to the shelter because my previous owner had to move and could not take me along.  If you love black kitties and you are looking for a calm influence, I could be the one for you.<p/><p/>I am slightly reserved but appreciate the attention you give me and like to have you pet my head.  I would do best in a home with no small children as I can be just a little bit shy.  I will make a good companion for the right person, so please come and see me soon.<p/><p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>",
K19-114824,A578233,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1951520,In Public Home,,Dog,,Male,Labrador Retriever,Unknown,01/12/2019 12:00:00 AM,Date Found,9400 TEMPLETON AVE SE,SNOQUALMIE,WA,98065,SNOQUALMIE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1951520,Image Copyright HLP Inc. 2019,,
K18-113025,A572078,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Blackie,Cat,13 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Black / White,10/17/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A572078,Image Copyright HLP Inc. 2019,"Received on: 2018-10-17<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 13 YEARS 1 MONTH<p/> Current Location: In RASKC Foster Home <p/>Blanca is a an incredibly sweet little lady. She's around 13 years young, but acts younger than that. She purrs the second she sees humans come in the room and loves to be petted and hang out wherever the humans are. She mostly loves to be cozy and lazy (as she should at her age!) but can sometimes be convinced to play with the right toy. She doesn't seem to love on being held or cuddled (she tends to squirm) but she loves to hang out and sleep right next to you. She's a love bug at night and will purr in your ears all night if you let her! She has been completely indifferent to her foster family's other cats, and has also been very tolerant of their hyper puppy. She even gave the puppy head butts when the pup calmed down enough! She seems like the kind of cat that could adapt to any kind of household, even at her age. All she needs is lots of love.<p/>She also may be a chronic URI kitty, with cold symptoms that may come and go, but she seems happy and lively nonetheless!<p/>Adoption Fee: $30.00<p/>",GREEN
K18-114520,A574840,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A574840,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Checkers,Dog,2 YEARS 2 MONTHS,Neutered Male,Pit Bull / Mix,Br Brindle / White,12/26/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574840,Image Copyright HLP Inc. 2019,"Received on: 2018-12-26<p/> Description: Br Brindle / White<p/>  Neutered Male Pit Bull / Mix Dog<p/> Age: 2 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Checkers and I am available for adoption.<p/><p/>I was brought in by a good samaritan on November 15, 2018. I spent some time in an adopted home but unfortunately they had a difficult time keeping me indoors. I just love to be out and about exploring! I am looking for an adventurous and fun-loving family!<p/><p/>I am a very smart dog! I have shown my caregivers that I already know how to sit, lay down and the command ""off."" I do like to pull when out on a walk but because I am so smart, I am eager to learn how to be the best dog I can be! <p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. I seem to enjoy the company of other dogs but I may not be the best fit for every dog as I love to get right in their face! Due to my exuberant and playful behavior, I may be too much for small children.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/> Adoption Fee: $100.00<p/>",RED
K18-112966,A571724,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A571724,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Timmy,Cat,10 YEARS 3 MONTHS,Neutered Male,Domestic Longhair,Brn Tabby / White,10/15/2018 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A571724,Image Copyright HLP Inc. 2019,"Received on: 2018-10-15<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 10 YEARS 3 MONTHS<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Timmy and I am available for adoption.<p/><p/>I was brought in by my previous owner because they weren't allowed to have me where they lived.  My previous owner described me as friendly and outgoing.<p/><p/>My personality color is RED. I am spirited cat with a fun-loving personality!   I love to play, climb and explore my surroundings! I am a big cool playful cat!  I can be affectionate with calm people that I trust, but do get overstimulated with petting.  I would do best with a cat savvy family that knows when to give me some space.  <p/><p/>I am declawed on my front feet, so I will need to remain an indoor cat only.  <p/><p/>My caregivers have noticed that I do not seem to get along with other cats, I would like to be the King Cat of the house please!<p/><p/><p/> Adoption Fee: $30.00<p/>",RED
K18-114520,A574840,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574840,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Checkers,Dog,2 YEARS 2 MONTHS,Neutered Male,Pit Bull / Mix,Br Brindle / White,12/26/2018 12:00:00 AM,Received on,3000 S 208TH ST,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574840,Image Copyright HLP Inc. 2019,"Received on: 2018-12-26<p/> Found Near: 3000 S 208TH ST, SEATAC WA 98198<p/> Description: Br Brindle / White Neutered Male Pit Bull / Mix Dog<p/> Age: 2 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
